n.country,n.id,n.srid, n.x, n.y,n.name
"CHN","chinaconstructionbankcorporationbeijingchinachn", 4326, 105, 35, "China Construction Bank Corporation"
"CYP","societegeneralebankcyprusltdsgcypruscyp", 4326, 33, 35, "Societe Generale Bank Cyprus Ltd"
"NZL","asbbanklimitedaucklandnewzealandnzl", 4326, 174, 41, "Asb Bank Limited"
"KHM","cimbbankplcphnompenhcambodiakhm", 4326, 105, 13, "CIMB Bank Plc"
"SGP","unitedoverseasbanklimitedsingaporesgp", 4326, 103.8, 1.3667, "United Overseas Bank Limited"
"CHN","bankofcommunicationsshanghaichinachn", 4326, 105, 35, "Bank of Communications"
"CHN","hebeitangshanbranchtangshanchinachn", 4326, 105, 35, "Hebei Tangshan Branch"
"KAZ","kazkommertsbankalmatykazakhstankaz", 4326, 68, 48, "Kazkommertsbank"
"EGY","banqueducairecairoegyptegy", 4326, 30, 27, "Banque Du Caire"
"ARE","nationalbankofrasalkaimahrasalkhaimahunitedarabemiratesare", 4326, 54, 24, "National Bank of Ras Al Kaimah"
"SGP","standardcharteredbanksingaporesgp", 4326, 103.8, 1.3667, "Standard Chartered Bank"
"BEL","ingbelgiumsabrusselsbelgiumbel", 4326, 4, 50.8333, "ING Belgium S A"
"CHE","vpbankschweizagzurichswitzerlandche", 4326, 8, 47, "VP Bank"
"CYM","maplesandcaldercaymanislandscym", 4326, 80.5, 19.5, "Maples And Calder"
"RUS","primoryebankvladivostokrussiarus", 4326, 100, 60, "Primorye Bank"
"POL","aliorbanksawarsawpolandpol", 4326, 20, 52, "Alior Bank S.A. "
"NLD","abnamrobanknvnetherlandsnld", 4326, 5.75, 52.5, "ABN Amro Bank NV"
"MYS","ocbcbankmalaysiaberhadkualalumpurmalaysiamys", 4326, 112.5, 2.5, "Ocbc Bank"
"RUS","vtbbankmoscowrussiarus", 4326, 100, 60, "VTB Bank"
"PAK","bankalhabibltdkarachipakistanpak", 4326, 70, 30, "Bank Al Habib Ltd"
"UKR","pjsccreditagricolebankkievukraineukr", 4326, 32, 49, "PJSC Credit Agricole Bank"
"CHN","chinamerchantbankcoltdshenzhenchinachn", 4326, 105, 35, "China Merchant Bank Co Ltd"
"TUR","turkiyegarantibankasiasistanbulturkeytur", 4326, 35, 39, "Turkiye Garanti Bankasi A S"
"ARE","standardcharteredbanktreasurydubaiunitedarabemiratesare", 4326, 54, 24, "Standard Chartered Bank Treasury"
"KOR","kookminbankkoreakor", 4326, 127.5, 37, "Kookmin Bank"
"IND","standardcharteredbankindiaind", 4326, 77, 20, "Standard Chartered Bank"
"HKG","jpmorganchasebanknahongkongbranchhongkonghkg", 4326, 114.1667, 22.25, "JPMorgan Chase Bank Na  Hong Kong Branch"
"RUS","sberbankrussiarus", 4326, 100, 60, "Sberbank"
"TUR","turkiyegarantibankasiasistanbulturkeytur", 4326, 35, 39, "Turkiye Garanti Bankasi A.S."
"TUR","anadolubankasistanbulturkeytur", 4326, 35, 39, "Anadolubank A.S."
"TUR","albarakaturkparticipationbankistanbulturkeytur", 4326, 35, 39, "Albaraka Turk Participation Bank"
"JPN","yokohamashinkinbankltdyokohamajapanjpn", 4326, 138, 36, "Yokohama Shinkin Bank"
"RUS","sberbankmoscowrussiarus", 4326, 100, 60, "Sberbank"
"CHE","creditsuissezurichswitzerlandche", 4326, 8, 47, "Credit Suisse"
"RUS","evrofinancemosnarbankmoscowrussiarus", 4326, 100, 60, "Evrofinance Mosnarbank"
"CYP","marfinpopularbankpubliccoltdnicosiacypruscyp", 4326, 33, 35, "Marfin Popular Bank Public Co Ltd"
"UKR","firstukrainianintlbankukraineukr", 4326, 32, 49, "First Ukrainian IntL Bank"
